hotel,QUANTIFIER,aspect,count,mean,median,std,min,max
bourbon,SORD,Atendimento da equipe,250,0.03388188422538821,0.0311295084071364,0.023492565075392748,0.0,0.1054550121935566
bourbon,SORD,Café da manhã,250,0.043546235045742364,0.035608726249120246,0.03483782850643718,0.0,0.1978712174524982
bourbon,SORD,Localização,250,0.09032176431863062,0.07911125740618824,0.0728353917919733,0.0,0.5092034233048057
bourbon,SORD,Quarto,250,0.046820493506493456,0.0345361781076066,0.043810771622218414,0.0,0.3128571428571427
bourbon,SORD,Áreas comuns,250,0.04589004436557225,0.03952085181898845,0.032416026708534725,0.0,0.1554687962141378
bourbon,T50,Atendimento da equipe,250,0.09398812654949561,0.0789492942642668,0.07488273084617746,0.0,0.3479609806186624
bourbon,T50,Café da manhã,250,0.11972399241036592,0.0850611313246257,0.11845167641415721,0.0,0.8442864962076785
bourbon,T50,Localização,250,0.10151464245805299,0.08031599736668854,0.09026585497893334,0.0,0.5035565908745633
bourbon,T50,Quarto,250,0.08028717950151011,0.0647261300667166,0.07315569678306827,0.0,0.6344229994225263
bourbon,T50,Áreas comuns,250,0.1580600222854372,0.1550192250813368,0.10432801373344154,0.0,0.4452954331999771
bourbon,X_method,Atendimento da equipe,250,0.02698220553001643,0.02298520480284815,0.0206554377204839,0.0,0.1384592147590168
bourbon,X_method,Café da manhã,250,0.0837148244864461,0.0717764317293282,0.06532835510749668,0.0002488562372156,0.3147683103001377
bourbon,X_method,Localização,250,0.22312961287232877,0.1807109940750494,0.17585666791524832,0.0,0.9838709677419354
bourbon,X_method,Quarto,250,0.048773430852223486,0.03623710935299715,0.04291020447199638,0.0,0.2168759640108651
bourbon,X_method,Áreas comuns,250,0.015519020107010797,0.0136642699185923,0.011112680946868575,0.0,0.0441204438613517
continental,ACC,Atendimento da equipe,250,0.043380864187235274,0.04147702029089445,0.029335765143001593,0.0,0.1269981363519924
continental,ACC,Quarto,250,0.04708980694217582,0.0392774067872313,0.039483774264704674,0.0,0.2091292282889057
continental,CC,Atendimento da equipe,250,0.016250177683013442,0.01282972890648795,0.014240006564009772,0.0,0.1174048126713371
continental,CC,Quarto,250,0.08000619633621231,0.06331116716349461,0.0592133754906344,0.0005044714515019,0.3139830314148131
continental,DyS,Atendimento da equipe,250,0.04080396449399167,0.0394581378760577,0.028127708389946368,4.388743294242046e-05,0.1244416429602603
continental,DyS,Quarto,250,0.030126245462163404,0.0243741289812489,0.02668347542208042,3.627452195845149e-05,0.1492473619798837
continental,EMQ,Atendimento da equipe,250,0.03379258570515942,0.0262120016861025,0.026458341113014247,1.1531574306555825e-15,0.1553424798520464
continental,EMQ,Quarto,250,0.1349863209036692,0.1337563453243912,0.07696963987624673,1.79051620379303e-08,0.3830435878390783
